time,connect,request 
0,51.935,6228.041 
10,51.935,10110.434 
20,51.935,19464.981 
30,51.935,28330.189 
40,51.935,36251.306 
50,51.935,36251.306 
60,51.935,41299.759 
70,51.935,43660.96 
80,51.935,53768.289 
90,51.935,54401.94 
100,51.935,59668.709 
110,51.935,59853.801 
120,51.935,59959.81 
130,51.935,59986.222 
140,51.935,59986.222 
150,51.935,59986.222 
160,51.935,59994.11 
170,51.935,59999.108 
180,51.935,59999.108 
190,51.935,59999.108 
200,51.935,59999.108 
210,51.935,59999.108 
220,51.935,59999.108 
230,51.935,59999.108 
240,51.935,59999.108 
250,51.935,59999.108 
260,51.935,59999.108 
270,51.935,59999.108 
280,51.935,59999.108 
290,51.935,59999.108 
300,51.935,59999.108 
310,51.935,59999.108 
316,51.935,59999.108 
