time,connect,request 
0,2.3789302325581385,1962.4885918367347 
10,1.5154186046511626,5495.810441176471 
20,1.5441176470588236,10952.781186440678 
30,1.554018181818182,14274.322780000004 
40,1.321461538461539,20924.58331746033 
50,1.392936170212766,22138.7055 
60,1.2782499999999999,25943.259 
70,0,31786.00134615384 
80,0,37502.056813559335 
90,0,41465.413612244876 
100,0,47334.29647727273 
110,0,53050.54487804878 
120,0,55703.85445762712 
130,0,57098.97904545455 
140,0,57659.04148148149 
150,0,56289.451559999994 
160,0,21252.68247008549 
170,0,58807.28548837209 
180,0,59470.09674074072 
190,0,59567.46368085109 
200,0,33024.152266666664 
210,0,9210.538109324758 
220,0,6927.367296636085 
230,0,7030.261169230772 
240,0,9164.171591780825 
250,0,19733.59094482759 
260,0,37511.835703703706 
270,0,7809.68426086956 
280,0,40608.24278571429 
290,0,16814.977514170034 
300,0,1830.779187500001 
310,0,317.6206610169494 
316,0,28.668249999999997 
