time,connect,request 
0,0.802,7.528 
10,0.802,7.528 
20,0.802,7.528 
30,0.802,7.528 
40,0.802,7.528 
50,0.802,7.528 
60,0.802,7.528 
70,0.802,7.528 
80,0.802,7.528 
90,0.802,7.528 
100,0.802,7.528 
110,0.802,7.528 
120,0.802,7.528 
130,0.802,7.528 
140,0.802,7.528 
150,0.802,7.135 
160,0.802,1.235 
170,0.802,1.235 
180,0.802,1.235 
190,0.802,1.235 
200,0.802,0.845 
210,0.802,0.815 
220,0.802,0.779 
230,0.802,0.779 
240,0.802,0.779 
250,0.802,0.779 
260,0.802,0.779 
270,0.802,0.779 
280,0.802,0.779 
290,0.802,0.779 
300,0.802,0.779 
310,0.802,0.779 
316,0.802,0.779 
