time,connect,request 
0,7.650059748650542,2002.501230866201 
10,0.8075941944502083,2388.0714098659096 
20,0.7048938912516376,3108.302283337105 
30,0.7627790932661742,5835.71400671889 
40,0.2660603937757266,6311.0596711717535 
50,0.3580669974308754,4927.797528789395 
60,0.1743737007120053,5353.701292787221 
70,0,4617.883574275896 
80,0,4752.515345007149 
90,0,3991.9573607407065 
100,0,5350.288769058595 
110,0,4576.785090155033 
120,0,4122.914714938585 
130,0,2894.546877236327 
140,0,2761.7878715030647 
150,0,11681.450439381319 
160,0,28390.3422127953 
170,0,1895.7196684800874 
180,0,488.7152025833114 
190,0,301.2747800325556 
200,0,29526.007977462803 
210,0,21529.154588295303 
220,0,19069.49116630312 
230,0,19190.42873746538 
240,0,21493.76561979107 
250,0,28034.004971155424 
260,0,28760.25925390234 
270,0,20141.266106792526 
280,0,3522.4621600189844 
290,0,16037.04515151289 
300,0,1493.2189973020197 
310,0,412.25886421895837 
316,0,12.331572048506223 
