time,page 
0,6228.041 
10,10110.434 
20,19464.981 
30,28330.189 
40,36251.306 
50,36251.306 
60,41299.759 
70,43660.96 
80,53768.289 
90,54401.94 
100,59668.709 
110,59853.801 
120,59959.81 
130,59986.222 
140,99730.113 
150,99730.113 
160,114261.174 
170,119094.364 
180,119094.364 
190,119747.141 
200,119747.141 
210,119747.141 
220,119747.141 
230,119747.141 
240,119983.759 
250,119983.759 
260,119983.759 
270,119983.759 
280,119983.759 
290,119983.759 
300,119983.759 
310,119983.759 
316,119983.759 
