time,page 
0,1962.4885918367347 
10,5495.810441176471 
20,10952.781186440678 
30,14274.322780000004 
40,20924.58331746033 
50,22138.7055 
60,25943.259 
70,31786.00134615384 
80,37457.34813793106 
90,41465.413612244876 
100,47165.690511627894 
110,52899.43080000001 
120,55703.85445762712 
130,57037.24234883722 
140,58401.54627777779 
150,56289.451559999994 
160,26470.325906250015 
170,60199.233023809524 
180,59468.132541666644 
190,61074.937487179486 
200,37466.21453424658 
210,12865.529119266053 
220,10685.198999999999 
230,11295.397592741943 
240,15296.909008264463 
250,30124.175595959598 
260,46137.65452499998 
270,15961.754666666666 
280,40606.78480000001 
290,34610.96956737589 
300,3854.708337899546 
310,621.5451842105264 
316,57.458 
