time,page 
0,2002.501230866201 
10,2388.0714098659096 
20,3108.302283337105 
30,5835.71400671889 
40,6311.0596711717535 
50,4927.797528789395 
60,5353.701292787221 
70,4617.883574275896 
80,4780.992549205539 
90,3991.9573607407065 
100,5295.3253491149335 
110,4531.487808384372 
120,4122.914714938585 
130,2899.231916684187 
140,6307.23247820034 
150,11681.450439381319 
160,30512.755571285594 
170,9393.34332655025 
180,507.92801178374117 
190,9522.578026426358 
200,28691.632135248517 
210,24503.121564654128 
220,22822.278992984026 
230,23925.676156342615 
240,29227.123579272433 
250,38295.997144490684 
260,36449.9351118205 
270,34315.82540822689 
280,3519.4895935507993 
290,24128.549598040056 
300,5200.93119708985 
310,736.6251567602737 
316,14.692000000000002 
