time,freemem@tsung_controller@ip-172-31-28-2 
0,3539.30078125 
10,3539.30078125 
20,3539.30078125 
30,3539.30078125 
40,3539.30078125 
50,3539.30078125 
60,3539.30078125 
70,3539.30078125 
80,3539.30078125 
90,3539.30078125 
100,3539.30078125 
110,3539.30078125 
120,3539.30078125 
130,3539.30078125 
140,3539.30078125 
150,3539.30078125 
160,3539.30078125 
170,3539.30078125 
180,3539.30078125 
190,3539.30078125 
200,3539.30078125 
210,3539.30078125 
220,3539.30078125 
230,3539.30078125 
240,3539.30078125 
250,3539.30078125 
260,3539.30078125 
270,3539.30078125 
280,3539.30078125 
290,3539.30078125 
300,3539.30078125 
310,3539.30078125 
316,3539.30078125 
