time,connect,request 
0,1.718,8.966 
10,1.632,8.596 
20,1.632,8.596 
30,1.562,8.596 
40,1.455,8.594 
50,1.455,8.594 
60,1.316,8.28 
70,1.316,8.044 
80,1.316,8.044 
90,1.316,8.044 
100,1.316,8.044 
110,1.316,8.044 
120,1.316,8.044 
130,1.316,8.044 
140,1.316,8.044 
150,1.316,8.044 
160,1.316,8.044 
170,1.316,8.044 
180,1.316,8.044 
190,1.316,8.044 
200,1.316,8.044 
210,1.316,1.104 
220,1.316,1.104 
230,1.316,0.905 
240,1.316,0.905 
250,1.316,0.905 
260,1.316,0.856 
270,1.316,0.856 
280,1.316,0.856 
290,1.316,0.856 
300,1.316,0.856 
310,1.316,0.856 
320,1.316,0.856 
330,1.316,0.856 
340,1.316,0.856 
343,1.316,0.856 
