time,size_sent,size_rcv 
0,7.9953125,252.78671875 
10,12.06328125,386.153125 
20,15.3390625,555.40546875 
30,24.290625,658.22578125 
40,34.27109375,1318.30703125 
50,21.5515625,1099.034375 
60,15.87734375,837.03671875 
70,40.8390625,1729.5875 
80,36.94140625,1919.69140625 
90,41.1484375,2194.77265625 
100,41.30546875,2576.6234375 
110,41.4265625,2407.02265625 
120,40.196875,2857.21171875 
130,42.69609375,1549.7140625 
140,49.55546875,3313.1046875 
150,39.56875,2327.8640625 
160,49.484375,2590.6875 
170,45.91640625,3377.228125 
180,47.2375,3301.46015625 
190,42.675,3055.20859375 
200,50.6203125,4284.85234375 
210,53.22578125,3054.0828125 
220,48.66171875,1888.590625 
230,62.471875,3408.09140625 
240,96.52265625,4372.953125 
250,67.69609375,4161.70078125 
260,96.234375,2936.2921875 
270,108.30078125,3954.9140625 
280,103.8359375,4510.0078125 
290,62.64140625,4308.46328125 
300,42.74375,3909.02890625 
310,32.02890625,4128.37421875 
320,30.803125,4171.5265625 
330,33.8140625,7215.93359375 
340,26.61640625,7193.3296875 
343,1.5234375,1.8125 
