time,size_sent,size_rcv 
0,7.9953125,252.78671875 
10,20.05859375,638.93984375 
20,35.39765625,1194.3453125 
30,59.68828125,1852.57109375 
40,93.959375,3170.878125 
50,115.5109375,4269.9125 
60,131.38828125,5106.94921875 
70,172.22734375,6836.53671875 
80,209.16875,8756.228125 
90,250.3171875,10951.00078125 
100,291.62265625,13527.62421875 
110,333.04921875,15934.646875 
120,373.24609375,18791.85859375 
130,415.9421875,20341.57265625 
140,465.49765625,23654.67734375 
150,505.06640625,25982.54140625 
160,554.55078125,28573.22890625 
170,600.4671875,31950.45703125 
180,647.7046875,35251.9171875 
190,690.3796875,38307.12578125 
200,741,42591.978125 
210,794.22578125,45646.0609375 
220,842.8875,47534.6515625 
230,905.359375,50942.74296875 
240,1001.88203125,55315.69609375 
250,1069.578125,59477.396875 
260,1165.8125,62413.6890625 
270,1274.11328125,66368.603125 
280,1377.94921875,70878.6109375 
290,1440.590625,75187.07421875 
300,1483.334375,79096.103125 
310,1515.36328125,83224.47734375 
320,1546.16640625,87396.00390625 
330,1579.98046875,94611.9375 
340,1606.596875,101805.2671875 
343,1608.1203125,101807.0796875 
