time,freemem@tsung_controller@ip-172-31-29-152 
0,3534.76171875 
10,3534.76171875 
20,3534.76171875 
30,3534.76171875 
40,3534.76171875 
50,3534.76171875 
60,3534.76171875 
70,3534.76171875 
80,3534.76171875 
90,3534.76171875 
100,3534.76171875 
110,3534.76171875 
120,3534.76171875 
130,3534.76171875 
140,3534.76171875 
150,3534.76171875 
160,3534.76171875 
170,3534.76171875 
180,3534.76171875 
190,3534.76171875 
200,3534.76171875 
210,3534.76171875 
220,3534.76171875 
230,3534.76171875 
240,3534.76171875 
250,3534.76171875 
260,3534.76171875 
270,3534.76171875 
280,3534.76171875 
290,3534.76171875 
300,3534.76171875 
310,3534.76171875 
320,3534.76171875 
330,3534.76171875 
340,3534.76171875 
343,3534.76171875 
