time,freemem@tsung_controller@ip-172-31-29-152 
0,3534.76171875 
10,3533.30859375 
20,3533.07421875 
30,3532.9609375 
40,3532.0 
50,3530.80078125 
60,3530.80859375 
70,3530.0703125 
80,3528.41015625 
90,3528.17578125 
100,3527.6484375 
110,3522.95703125 
120,3520.53515625 
130,3519.69921875 
140,3519.265625 
150,3517.00390625 
160,3512.16015625 
170,3511.64453125 
180,3510.52734375 
190,3508.8046875 
200,3505.96484375 
210,3501.828125 
220,3500.5859375 
230,3500.0546875 
240,3499.6640625 
250,3492.82421875 
260,3491.5 
270,3490.46875 
280,3489.9609375 
290,3488.97265625 
300,3488.73046875 
310,3487.421875 
320,3487.06640625 
330,3486.96484375 
340,3486.51953125 
343,3494.59375 
