time,connect,request 
0,38.491,1899.009 
10,38.491,8736.131 
20,38.491,14497.642 
30,38.491,14497.642 
40,38.491,14497.642 
50,38.491,14497.642 
60,38.491,14497.642 
70,38.491,14497.642 
80,38.491,14497.642 
90,38.491,14497.642 
100,38.491,14497.642 
110,38.491,14695.09 
120,38.491,15462.295 
130,38.491,15462.295 
140,38.491,15462.295 
150,38.491,18289.902 
160,38.491,18289.902 
170,38.491,19841.627 
180,38.491,22474.086 
190,38.491,22786.528 
200,38.491,23948.157 
210,38.491,24763.002 
220,38.491,28715.901 
230,38.491,31134.905 
240,54.982,31134.905 
250,54.982,33477.44 
260,54.982,34488.651 
270,54.982,34488.651 
280,54.982,34488.651 
290,54.982,34488.651 
300,54.982,34488.651 
310,54.982,34488.651 
320,54.982,34488.651 
330,54.982,34488.651 
340,54.982,34488.651 
350,54.982,34488.651 
357,54.982,34488.651 
