time,connect,request 
0,1.142,8.994 
10,1.142,8.994 
20,1.142,8.994 
30,1.142,8.994 
40,1.142,8.994 
50,1.142,8.994 
60,1.142,8.994 
70,1.142,8.994 
80,1.142,8.994 
90,1.142,8.994 
100,1.142,8.994 
110,1.142,8.994 
120,1.142,8.994 
130,1.142,8.994 
140,1.142,8.994 
150,1.142,8.994 
160,1.142,8.994 
170,1.142,8.994 
180,1.142,8.994 
190,1.142,1.057 
200,1.142,1.057 
210,1.142,0.886 
220,1.142,0.869 
230,1.142,0.869 
240,1.142,0.869 
250,1.142,0.869 
260,1.142,0.869 
270,1.142,0.869 
280,1.142,0.869 
290,1.142,0.869 
300,1.142,0.869 
310,1.142,0.869 
320,1.142,0.869 
330,1.142,0.869 
340,1.142,0.869 
350,1.142,0.869 
357,1.142,0.869 
