time,session 
20,28204.084 
30,32599.872 
40,32599.872 
50,43779.856 
60,43779.856 
70,43779.856 
80,43779.856 
90,43779.856 
100,43779.856 
110,43779.856 
120,43779.856 
130,44209.134 
140,49322.348 
150,49322.348 
160,49322.348 
170,51619.405 
180,58747.302 
190,61022.771 
200,62892.959 
210,71577.288 
220,74794.426 
230,78663.461 
240,82730.031 
250,93897.868 
260,93901.877 
270,93901.877 
280,107611.72 
290,107611.72 
300,107611.72 
310,118252.704 
320,118252.704 
330,118252.704 
340,118252.704 
350,118252.704 
357,118252.704 
