time,session 
20,19290.67 
30,18641.478 
40,16260.219 
50,16260.219 
60,16260.219 
70,16260.219 
80,15884.264 
90,15457.465 
100,13995.886 
110,13995.886 
120,13995.886 
130,13995.886 
140,13995.886 
150,13995.886 
160,13995.886 
170,13995.886 
180,13995.886 
190,13995.886 
200,13995.886 
210,13995.886 
220,1326.015 
230,1326.015 
240,1326.015 
250,1326.015 
260,1326.015 
270,393.948 
280,393.948 
290,393.948 
300,393.948 
310,393.948 
320,393.948 
330,393.948 
340,393.948 
350,393.948 
357,393.948 
