time,session 
20,3226.698392260448 
30,4451.24332675116 
40,4407.620066798505 
50,8398.388759656298 
60,3801.08962487506 
70,4210.847463986848 
80,4306.817473626279 
90,5548.829279464527 
100,4946.517682826333 
110,4150.3253161666335 
120,4564.262375979275 
130,5041.623571884753 
140,5724.24135869424 
150,5008.663911841576 
160,3957.565787098272 
170,3749.255886131754 
180,4550.888934740034 
190,4600.683271965279 
200,3320.8061792405 
210,14734.677285884947 
220,22352.70033156304 
230,22301.0294600828 
240,23985.871721055744 
250,24887.397947800968 
260,26618.500205102224 
270,26240.820831417586 
280,29559.521374085805 
290,28999.184616162398 
300,21378.34147629796 
310,27348.859969977464 
320,17439.711608489182 
330,16608.993166484543 
340,13838.120472695835 
350,9485.38381613066 
357,8426.858543079572 
