time,size_sent,size_rcv 
0,6.3484375,16.76328125 
10,11.65546875,5064.06171875 
20,11.78203125,6758.48984375 
30,17.0703125,11820.70390625 
40,13.3109375,8454.859375 
50,16.37578125,11836.77265625 
60,12.56796875,10163.2703125 
70,23.26171875,10199.4640625 
80,32.221875,8521.68671875 
90,36.4875,6840.709375 
100,43.75625,8588.778125 
110,33.1328125,6856.503125 
120,39.23046875,8562.32734375 
130,43.50390625,8572.80546875 
140,42.2859375,10282.9796875 
150,40.2421875,8577.38203125 
160,38.321875,8574.734375 
170,38.79296875,10287.9390625 
180,49.828125,6892.4421875 
190,40.4375,10291.9921875 
200,45.5234375,6890.121875 
210,65.034375,10320.6234375 
220,73.425,8626.7140625 
230,48.75859375,10304.1328125 
240,75.1390625,6910.28828125 
250,70.6625,8635.890625 
260,80.753125,6458.121875 
270,85.83203125,12551.11953125 
280,67.94375,8637.97265625 
290,62.496875,6927.87890625 
300,38.89609375,10319.2359375 
310,32.68046875,10331.2859375 
320,32.34375,6894.0515625 
330,24.334375,12015.1296875 
340,25.8578125,6890.64296875 
350,28.81015625,10344.75234375 
357,6.63671875,5119.40078125 
