time,size_sent,size_rcv 
0,6.3484375,16.76328125 
10,18.00390625,5080.825 
20,29.7859375,11839.31484375 
30,46.85625,23660.01875 
40,60.1671875,32114.878125 
50,76.54296875,43951.65078125 
60,89.1109375,54114.92109375 
70,112.37265625,64314.38515625 
80,144.59453125,72836.071875 
90,181.08203125,79676.78125 
100,224.83828125,88265.559375 
110,257.97109375,95122.0625 
120,297.2015625,103684.38984375 
130,340.70546875,112257.1953125 
140,382.99140625,122540.175 
150,423.23359375,131117.55703125 
160,461.55546875,139692.29140625 
170,500.3484375,149980.23046875 
180,550.1765625,156872.67265625 
190,590.6140625,167164.66484375 
200,636.1375,174054.78671875 
210,701.171875,184375.41015625 
220,774.596875,193002.12421875 
230,823.35546875,203306.25703125 
240,898.49453125,210216.5453125 
250,969.15703125,218852.4359375 
260,1049.91015625,225310.5578125 
270,1135.7421875,237861.67734375 
280,1203.6859375,246499.65 
290,1266.1828125,253427.52890625 
300,1305.07890625,263746.76484375 
310,1337.759375,274078.05078125 
320,1370.103125,280972.10234375 
330,1394.4375,292987.23203125 
340,1420.2953125,299877.875 
350,1449.10546875,310222.62734375 
357,1455.7421875,315342.028125 
