time,page 
0,578.1650000000001 
10,3191.519526315789 
20,6074.773791666666 
30,4703.02596969697 
40,5126.388642857143 
50,4673.528903225807 
60,4533.548419354841 
70,3838.223333333334 
80,4344.6938064516125 
90,4315.518287878788 
100,4809.490808080806 
110,6021.317942028985 
120,6286.68807317073 
130,6394.9029367088615 
140,7926.171157303371 
150,9407.07305263157 
160,11559.699171052636 
170,12946.779258426965 
180,13344.736292682928 
190,14542.811645161293 
200,16704.329746835436 
210,10837.582758620685 
220,10180.27669590643 
230,11138.661221518996 
240,10826.642337278103 
250,9895.979076923082 
260,10069.525511627911 
270,9422.021167330686 
280,8361.063261306525 
290,10691.754153846146 
300,21068.711158536586 
310,19987.418381443294 
320,21276.54078082193 
330,20673.16654430379 
340,17001.15796969697 
350,10125.733020618556 
357,5299.975772727271 
