time,page 
0,568.8495682830796 
10,2268.8258074557643 
20,3653.032901512784 
30,3251.4946479619457 
40,3508.4442109965435 
50,3640.0041325668167 
60,3665.2592743423884 
70,3224.0363351348533 
80,3266.41922223 
90,3098.8739808443756 
100,2916.708620739098 
110,3147.226844278055 
120,3181.8556870337393 
130,3041.340161854423 
140,2674.460663656863 
150,3102.018837493789 
160,2674.311363725698 
170,2756.4403835918547 
180,3273.0628467176653 
190,4674.224474489206 
200,2682.045559045679 
210,9266.748223304037 
220,10307.198620710533 
230,11600.193141058038 
240,12031.926699875294 
250,12475.241920117725 
260,11327.378491052988 
270,11413.785493835703 
280,10100.536550704855 
290,10897.042154322506 
300,2709.4824916248876 
310,7013.372179918256 
320,3840.551382336379 
330,3218.116191137005 
340,5356.450713272701 
350,6274.057839661925 
357,7514.664970363137 
