time,freemem@tsung_controller@ip-172-31-25-97 
0,3536.55078125 
10,3536.55078125 
20,3536.55078125 
30,3536.55078125 
40,3536.55078125 
50,3536.55078125 
60,3536.55078125 
70,3536.55078125 
80,3536.55078125 
90,3536.55078125 
100,3536.55078125 
110,3536.55078125 
120,3536.55078125 
130,3536.55078125 
140,3536.55078125 
150,3536.55078125 
160,3536.55078125 
170,3536.55078125 
180,3536.55078125 
190,3536.55078125 
200,3536.55078125 
210,3536.55078125 
220,3536.55078125 
230,3536.55078125 
240,3536.55078125 
250,3536.55078125 
260,3536.55078125 
270,3536.55078125 
280,3536.55078125 
290,3536.55078125 
300,3536.55078125 
310,3536.55078125 
320,3536.55078125 
330,3536.55078125 
340,3536.55078125 
350,3536.55078125 
357,3536.55078125 
