time,freemem@tsung_controller@ip-172-31-25-97 
0,3536.55078125 
10,3534.79296875 
20,3533.73046875 
30,3532.0390625 
40,3531.78515625 
50,3530.60546875 
60,3530.60546875 
70,3530.421875 
80,3527.59375 
90,3526.01953125 
100,3525.63671875 
110,3525.05078125 
120,3522.99609375 
130,3519.66796875 
140,3517.62109375 
150,3516.7265625 
160,3515.98828125 
170,3515.234375 
180,3512.05078125 
190,3509.328125 
200,3508.45703125 
210,3507.4375 
220,3506.35546875 
230,3503.5390625 
240,3498.9375 
250,3497.453125 
260,3496.34375 
270,3495.97265625 
280,3495.8125 
290,3495.453125 
300,3495.2109375 
310,3495.2109375 
320,3495.10546875 
330,3495.10546875 
340,3495.03515625 
350,3494.83203125 
357,3494.81640625 
