time,connect,request 
0,1.236,9.244 
10,1.236,6.028 
20,1.236,6.028 
30,1.236,6.028 
40,1.233,6.028 
50,1.202,6.028 
60,1.202,6.028 
70,1.144,6.028 
80,1.144,6.028 
90,1.138,6.028 
100,1.138,6.028 
110,1.138,6.028 
120,1.084,6.028 
130,1.062,6.028 
140,0.865,6.028 
150,0.865,6.028 
160,0.865,6.028 
170,0.865,6.028 
180,0.865,6.028 
190,0.865,6.028 
200,0.865,6.028 
210,0.865,6.028 
220,0.865,6.028 
230,0.865,0.491 
240,0.811,0.491 
250,0.811,0.451 
260,0.811,0.451 
270,0.811,0.451 
280,0.811,0.451 
290,0.811,0.451 
300,0.811,0.451 
310,0.811,0.451 
320,0.811,0.451 
330,0.811,0.451 
340,0.811,0.451 
348,0.811,0.451 
