time,session 
0,5540.133 
10,12753.952 
20,12753.952 
30,12753.952 
40,12753.952 
50,12753.952 
60,12753.952 
70,12753.952 
80,12753.952 
90,18417.778 
100,18417.778 
110,24522.481 
120,24522.481 
130,24522.481 
140,24703.181 
150,24703.181 
160,29587.721 
170,33775.617 
180,38833.839 
190,45022.229 
200,47262.212 
210,48991.685 
220,56328.125 
230,60096.904 
240,64331.893 
250,66579.856 
260,70979.904 
270,79465.706 
280,81537.217 
290,87852.965 
300,87852.965 
310,90587.795 
320,90587.795 
330,93998.204 
340,93998.204 
348,93998.204 
