time,session 
0,2143.6135 
10,3202.390265953667 
20,2556.749482407739 
30,2552.3290148712426 
40,1808.442421945369 
50,2424.8199484224406 
60,2155.329150427608 
70,1800.6930905594918 
80,2587.5823699296843 
90,3843.5577439960016 
100,1787.1721244140606 
110,5069.701032290313 
120,3887.327544788042 
130,3295.5880473787515 
140,3306.060160063639 
150,2566.9121990643343 
160,2791.5938150250754 
170,2503.5225931491627 
180,2465.9849404236493 
190,3582.222369566715 
200,2689.802835925407 
210,2207.913995165933 
220,3368.4117145418622 
230,14694.43936146274 
240,12866.445302039867 
250,16238.502236416973 
260,19671.685960083476 
270,22751.23031513028 
280,23490.145205849967 
290,27557.30524947327 
300,23514.06591905523 
310,21916.101152334828 
320,20626.58327945544 
330,17594.13222828082 
340,10348.991175081033 
348,0.0 
