time,size_sent,size_rcv 
0,8.053125,29.2 
10,28.12734375,78.5703125 
20,46.78515625,127.634375 
30,68.51171875,175.9796875 
40,85.17734375,224.0875 
50,105.24765625,274.084375 
60,128.8578125,330.15625 
70,165.10390625,437.509375 
80,193.6171875,503.809375 
90,219.5171875,563.73125 
100,250.87265625,642.7640625 
110,295.6125,761.3890625 
120,334.4890625,863.9578125 
130,378.67890625,963.609375 
140,433.23046875,1105.2140625 
150,481.02734375,1223.0875 
160,529.390625,1337.6875 
170,575.390625,1451.159375 
180,625.25234375,1558.353125 
190,673.3296875,1716.8046875 
200,719.19453125,1792.2046875 
210,764.6859375,1925.5921875 
220,829.78359375,2081.503125 
230,885.8,2179.1140625 
240,942.38984375,2289.3515625 
250,1021.17578125,2452.4953125 
260,1102.6328125,2618.7921875 
270,1180.11796875,2734.5078125 
280,1255.71328125,2914.43671875 
290,1348.87109375,3089.30234375 
300,1413.690625,3256.47578125 
310,1465.54375,3409.51171875 
320,1509.56640625,3524.775 
330,1539.903125,3657.8640625 
340,1577.040625,3745.8703125 
348,1577.77265625,3745.9828125 
