time,freemem@tsung_controller@ip-172-31-29-152 
0,3531.5546875 
10,3531.5546875 
20,3531.5546875 
30,3531.5546875 
40,3531.5546875 
50,3531.5546875 
60,3531.5546875 
70,3531.5546875 
80,3531.5546875 
90,3531.5546875 
100,3531.5546875 
110,3531.5546875 
120,3531.5546875 
130,3531.5546875 
140,3531.5546875 
150,3531.5546875 
160,3531.5546875 
170,3531.5546875 
180,3531.5546875 
190,3531.5546875 
200,3531.5546875 
210,3531.5546875 
220,3531.5546875 
230,3531.5546875 
240,3531.5546875 
250,3531.5546875 
260,3531.5546875 
270,3531.5546875 
280,3531.5546875 
290,3531.5546875 
300,3531.5546875 
310,3531.5546875 
320,3531.5546875 
330,3531.5546875 
340,3531.5546875 
348,3531.5546875 
