time,freemem@tsung_controller@ip-172-31-29-152 
0,3531.5546875 
10,3531.33984375 
20,3530.7421875 
30,3530.38671875 
40,3530.38671875 
50,3530.28515625 
60,3530.171875 
70,3530.05859375 
80,3528.61328125 
90,3528.61328125 
100,3528.61328125 
110,3528.0078125 
120,3525.83984375 
130,3523.40625 
140,3520.13671875 
150,3518.12890625 
160,3513.18359375 
170,3510.86328125 
180,3509.91796875 
190,3505.44921875 
200,3503.390625 
210,3501.92578125 
220,3500.73828125 
230,3496.1015625 
240,3490.625 
250,3486.1484375 
260,3482.765625 
270,3481.2734375 
280,3480.06640625 
290,3478.9609375 
300,3477.6328125 
310,3476.30078125 
320,3475.58203125 
330,3475.34765625 
340,3475.015625 
348,3475.015625 
