time,connect,request 
0,51.661,596.999 
10,51.661,596.999 
20,51.661,1802.975 
30,51.661,1802.975 
40,51.661,1802.975 
50,51.661,1802.975 
60,51.661,1802.975 
70,51.661,3106.055 
80,51.661,3106.055 
90,51.661,3106.055 
100,51.661,3106.055 
110,51.661,3106.055 
120,51.661,3106.055 
130,51.661,4910.621 
140,51.661,11306.658 
150,51.661,11306.658 
160,51.661,12817.424 
170,51.661,14126.577 
180,52.617,15056.905 
190,52.617,19409.373 
200,52.617,19409.373 
210,52.617,22326.246 
220,52.617,28642.682 
230,52.617,28729.36 
240,52.617,28729.36 
250,52.617,28729.36 
260,52.617,33596.009 
270,52.617,33596.009 
280,52.617,33596.009 
290,52.617,33596.009 
300,52.617,33596.009 
310,52.617,33596.009 
320,52.617,33596.009 
330,52.617,33596.009 
