time,session 
0,6298.446 
10,13778.461 
20,13778.461 
30,14414.268 
40,16923.375 
50,16923.375 
60,16923.375 
70,16923.375 
80,17025.707 
90,20438.747 
100,20438.747 
110,20438.747 
120,20438.747 
130,20438.747 
140,20438.747 
150,30839.106 
160,30839.106 
170,33764.98 
180,35592.243 
190,51626.423 
200,51626.423 
210,51626.423 
220,56041.789 
230,61312.966 
240,64307.528 
250,70245.805 
260,81023.143 
270,83770.816 
280,91667.391 
290,91667.391 
300,91667.391 
310,91667.391 
320,91900.33 
330,97255.789 
