time,session 
0,1765.7430000000002 
10,3422.776791012635 
20,2100.4126927464467 
30,3293.008315486203 
40,5366.967747881353 
50,3690.0820793800153 
60,0.0 
70,2329.9246699817477 
80,4041.6152299207747 
90,4378.626459949973 
100,2302.998117542076 
110,1863.280806263971 
120,4426.4521976334945 
130,3303.058529811707 
140,1919.9120304611033 
150,4898.182536006329 
160,2446.1759019882275 
170,3537.786881736194 
180,2881.9974200316706 
190,4537.8667119520205 
200,2130.450344871682 
210,2698.4333074183187 
220,9421.896545396263 
230,13517.400855787952 
240,16301.04451020949 
250,13084.449500090794 
260,20838.352610075704 
270,24260.860320441305 
280,22443.1893714674 
290,22834.330588117686 
300,23004.848963648023 
310,22241.58042487513 
320,19748.92076723343 
330,18279.901276235196 
