time,size_sent,size_rcv 
0,6.2109375,19.715625 
10,23.5953125,63.08125 
20,58.93125,158.9640625 
30,86.40546875,226.859375 
40,100.48515625,264.853125 
50,115.165625,291.2390625 
60,120.95390625,314.75625 
70,160.31796875,415.7578125 
80,193.25,498.1765625 
90,233.23359375,603.640625 
100,272.2,710.3 
110,308.73671875,783.771875 
120,336.5890625,868.28125 
130,386.63359375,989.628125 
140,433.78046875,1112.8796875 
150,482.77109375,1246.871875 
160,531.409375,1346.5640625 
170,583.69921875,1479.75625 
180,626.35234375,1566.54375 
190,694.3421875,1745.6453125 
200,733.44453125,1822.88828125 
210,776.39296875,1925.071875 
220,839.42890625,2104.646875 
230,902.49453125,2206.90234375 
240,992.8234375,2355.11796875 
250,1063.32890625,2514.140625 
260,1140.7734375,2716.9265625 
270,1232.859375,2863.40078125 
280,1306.60859375,3061.5296875 
290,1388.83203125,3198.1125 
300,1449.21796875,3337.846875 
310,1502.3,3502.23671875 
320,1532.2765625,3561.8859375 
330,1575.02734375,3744.425 
