time,page 
0,135.7912 
10,117.96696969696973 
20,433.46817105263176 
30,336.14408474576277 
40,164.99983870967742 
50,180.15215384615388 
60,138.15493749999996 
70,882.133036144578 
80,287.69443283582086 
90,485.6626506024098 
100,388.73080459770125 
110,408.27397142857126 
120,347.74509677419337 
130,1250.1885795454555 
140,2601.541170212766 
150,3480.375392156863 
160,5200.7250833333355 
170,6113.601480769232 
180,8071.1642297297285 
190,8633.01689915967 
200,10558.11145454545 
210,13472.47922680413 
220,13035.408162962967 
230,11619.963714285715 
240,7371.802724444445 
250,15263.6693576159 
260,10108.042808823511 
270,6909.382352941177 
280,14216.124216560504 
290,5895.687968468472 
300,17141.010871559625 
310,15246.569866141735 
320,19112.58330158729 
330,17127.875717557254 
