time,freemem@tsung_controller@ip-172-31-25-97 
0,3530.06640625 
10,3530.2734375 
20,3530.2734375 
30,3530.2734375 
40,3530.2734375 
50,3530.2734375 
60,3530.2734375 
70,3530.2734375 
80,3530.2734375 
90,3530.2734375 
100,3530.2734375 
110,3530.2734375 
120,3530.2734375 
130,3530.2734375 
140,3530.2734375 
150,3530.2734375 
160,3530.2734375 
170,3530.2734375 
180,3530.2734375 
190,3530.2734375 
200,3530.2734375 
210,3530.2734375 
220,3530.2734375 
230,3530.2734375 
240,3530.2734375 
250,3530.2734375 
260,3530.2734375 
270,3530.2734375 
280,3530.2734375 
290,3530.2734375 
300,3530.2734375 
310,3530.2734375 
320,3530.2734375 
330,3530.2734375 
