time,freemem@tsung_controller@ip-172-31-25-97 
0,3530.06640625 
10,3530.06640625 
20,3529.04296875 
30,3527.86328125 
40,3527.86328125 
50,3527.45703125 
60,3527.359375 
70,3527.24609375 
80,3524.47265625 
90,3523.75390625 
100,3523.171875 
110,3523.05859375 
120,3523.05859375 
130,3522.80078125 
140,3518.828125 
150,3516.390625 
160,3515.68359375 
170,3510.10546875 
180,3508.05078125 
190,3506.84765625 
200,3502.85546875 
210,3500.55078125 
220,3494.04296875 
230,3493.546875 
240,3492.41015625 
250,3489.88671875 
260,3489.16015625 
270,3488.5390625 
280,3487.453125 
290,3486.97265625 
300,3486.609375 
310,3486.375 
320,3486.140625 
330,3485.90625 
